year,jday,tree.type,site,plot,nindivs,tag,spp,dbh,,ba [m^2]
2009,120,live,ems,A1,NA,1,yb,16.3,,0.00664225
2009,152,live,ems,A1,NA,1,yb,16.36,,0.00669124
2009,225,live,ems,A1,NA,1,yb,16.33,,0.006666723
2009,335,live,ems,A1,NA,1,yb,16.72,,0.00698896
2009,120,live,ems,A1,NA,2,rm,34.15,,0.029155563
2009,152,live,ems,A1,NA,2,rm,34.16,,0.02917264
2009,225,live,ems,A1,NA,2,rm,34.22,,0.02927521
2009,335,live,ems,A1,NA,2,rm,34.26,,0.02934369
2009,120,live,ems,A1,NA,6,rm,33.76,,0.02849344
2009,152,live,ems,A1,NA,6,rm,33.77,,0.028510323
2009,225,live,ems,A1,NA,6,rm,33.84,,0.02862864
2009,335,live,ems,A1,NA,6,rm,33.85,,0.028645563
2009,120,live,ems,A1,NA,8,yb,25.46,,0.01620529
2009,152,live,ems,A1,NA,8,yb,25.5,,0.01625625
2009,225,live,ems,A1,NA,8,yb,25.85,,0.016705563
2009,335,live,ems,A1,NA,8,yb,25.99,,0.016887003
2009,120,live,ems,A1,NA,9,yb,16.64,,0.00692224
2009,152,live,ems,A1,NA,9,yb,16.65,,0.006930563
2009,225,live,ems,A1,NA,9,yb,16.67,,0.006947223
2009,335,live,ems,A1,NA,9,yb,16.8,,0.007056
2009,120,live,ems,A1,NA,10,yb,14.69,,0.005394903
2009,152,live,ems,A1,NA,10,yb,14.74,,0.00543169
2009,225,live,ems,A1,NA,10,yb,14.98,,0.00561001
2009,335,live,ems,A1,NA,10,yb,15.08,,0.00568516
2009,120,live,ems,A1,NA,11,rm,20.14,,0.01014049
2009,152,live,ems,A1,NA,11,rm,20.18,,0.01018081
2009,225,live,ems,A1,NA,11,rm,20.22,,0.01022121
2009,335,live,ems,A1,NA,11,rm,20.26,,0.01026169
2009,120,live,ems,A1,NA,12,rm,16.46,,0.00677329
2009,152,live,ems,A1,NA,12,rm,16.46,,0.00677329
2009,225,live,ems,A1,NA,12,rm,16.45,,0.006765063
2009,335,live,ems,A1,NA,12,rm,16.46,,0.00677329
2009,120,live,ems,A1,NA,14,ro,59.44,,0.08832784
