year,jday,tree.type,site,plot,nindivs,tag,spp,dbh
2009,120,live,ems,A1,NA,1,yb,16.3
2009,120,live,ems,F3,NA,1,rm,16.24
2009,152,live,ems,A1,NA,1,yb,16.36
2009,152,live,ems,F3,NA,1,rm,16.26
2009,225,live,ems,A1,NA,1,yb,16.33
2009,225,live,ems,F3,NA,1,rm,16.42
2009,335,live,ems,A1,NA,1,yb,16.72
2009,335,live,ems,F3,NA,1,rm,16.47
2009,120,live,ems,A1,NA,2,rm,34.15
2009,120,live,ems,F3,NA,2,hem,22.8
2009,152,live,ems,A1,NA,2,rm,34.16
2009,152,live,ems,F3,NA,2,hem,23.04
2009,225,live,ems,A1,NA,2,rm,34.22
2009,225,live,ems,F3,NA,2,hem,23.31
2009,335,live,ems,A1,NA,2,rm,34.26
2009,335,live,ems,F3,NA,2,hem,23.48
2009,120,live,ems,F3,NA,3,wp,32.29
2009,152,live,ems,F3,NA,3,wp,32.42
2009,225,live,ems,F3,NA,3,wp,32.56
2009,335,live,ems,F3,NA,3,wp,32.62
2009,120,live,ems,F3,NA,4,hem,15
2009,152,live,ems,F3,NA,4,hem,15.15
2009,225,live,ems,F3,NA,4,hem,15.28
2009,335,live,ems,F3,NA,4,hem,15.37
2009,120,live,ems,F3,NA,5,yb,18.64
2009,152,live,ems,F3,NA,5,yb,18.75
2009,225,live,ems,F3,NA,5,yb,18.91
2009,335,live,ems,F3,NA,5,yb,19.13
2009,120,live,ems,A1,NA,6,rm,33.76
2009,120,live,ems,F3,NA,6,rm,20.09
2009,152,live,ems,A1,NA,6,rm,33.77
2009,152,live,ems,F3,NA,6,rm,20.09
2009,225,live,ems,A1,NA,6,rm,33.84
2009,225,live,ems,F3,NA,6,rm,20.15
2009,335,live,ems,A1,NA,6,rm,33.85
2009,335,live,ems,F3,NA,6,rm,20.18
2009,120,live,ems,F3,NA,7,hem,20.8
2009,152,live,ems,F3,NA,7,hem,20.96
2009,225,live,ems,F3,NA,7,hem,21.15
2009,335,live,ems,F3,NA,7,hem,21.2
2009,120,live,ems,A1,NA,8,yb,25.46
2009,120,live,ems,F3,NA,8,ro,63.91
2009,152,live,ems,A1,NA,8,yb,25.5
2009,152,live,ems,F3,NA,8,ro,64.03
2009,225,live,ems,A1,NA,8,yb,25.85
2009,225,live,ems,F3,NA,8,ro,64.42
2009,335,live,ems,A1,NA,8,yb,25.99
2009,335,live,ems,F3,NA,8,ro,64.53
2009,120,live,ems,A1,NA,9,yb,16.64
2009,120,live,ems,F3,NA,9,rm,29.03
2009,152,live,ems,A1,NA,9,yb,16.65
2009,152,live,ems,F3,NA,9,rm,29.16
2009,225,live,ems,A1,NA,9,yb,16.67
2009,225,live,ems,F3,NA,9,rm,29.46
2009,335,live,ems,A1,NA,9,yb,16.8
2009,335,live,ems,F3,NA,9,rm,29.68
2009,120,live,ems,A1,NA,10,yb,14.69
2009,120,live,ems,F3,NA,10,yb,19.98
2009,152,live,ems,A1,NA,10,yb,14.74
2009,152,live,ems,F3,NA,10,yb,19.96
2009,225,live,ems,A1,NA,10,yb,14.98
2009,225,live,ems,F3,NA,10,yb,19.98
2009,335,live,ems,A1,NA,10,yb,15.08
2009,335,live,ems,F3,NA,10,yb,19.99
2009,120,live,ems,A1,NA,11,rm,20.14
2009,120,live,ems,F3,NA,11,wp,24.28
2009,152,live,ems,A1,NA,11,rm,20.18
2009,152,live,ems,F3,NA,11,wp,24.42
2009,225,live,ems,A1,NA,11,rm,20.22
2009,225,live,ems,F3,NA,11,wp,24.55
2009,335,live,ems,A1,NA,11,rm,20.26
2009,335,live,ems,F3,NA,11,wp,24.61
2009,120,live,ems,A1,NA,12,rm,16.46
2009,120,live,ems,F3,NA,12,hem,27.69
2009,152,live,ems,A1,NA,12,rm,16.46
2009,152,live,ems,F3,NA,12,hem,27.91
2009,225,live,ems,A1,NA,12,rm,16.45
2009,225,live,ems,F3,NA,12,hem,28.22
2009,335,live,ems,A1,NA,12,rm,16.46
2009,335,live,ems,F3,NA,12,hem,28.31
2009,120,live,ems,A1,NA,14,ro,59.44
2009,152,live,ems,A1,NA,14,ro,59.62
2009,225,live,ems,A1,NA,14,ro,59.78
2009,335,live,ems,A1,NA,14,ro,59.84
2009,120,live,ems,A1,NA,15,rm,22.06
2009,152,live,ems,A1,NA,15,rm,22.06
2009,225,live,ems,A1,NA,15,rm,22.09
2009,335,live,ems,A1,NA,15,rm,22.1
2009,120,live,ems,A1,NA,17,rm,19.63
2009,152,live,ems,A1,NA,17,rm,19.63
2009,225,live,ems,A1,NA,17,rm,19.64
2009,335,live,ems,A1,NA,17,rm,19.64
2009,120,live,ems,A1,NA,18,rm,27.17
2009,152,live,ems,A1,NA,18,rm,27.21
2009,225,live,ems,A1,NA,18,rm,27.47
2009,335,live,ems,A1,NA,18,rm,27.54
2009,120,live,ems,A1,NA,19,ro,50.96
2009,152,live,ems,A1,NA,19,ro,51.1
2009,225,live,ems,A1,NA,19,ro,51.28
2009,335,live,ems,A1,NA,19,ro,51.36
2009,120,live,ems,A2,NA,25,rm,15.6
2009,152,live,ems,A2,NA,25,rm,15.67
2009,225,live,ems,A2,NA,25,rm,15.85
2009,335,live,ems,A2,NA,25,rm,15.9
2009,120,live,ems,A2,NA,26,bo,42.43
2009,152,live,ems,A2,NA,26,bo,42.57
