year,jday,tree.type,site,plot,nindivs,tag,spp,dbh
2009,120,live,ems,A1,NA,1,yb,16.3
2009,152,live,ems,A1,NA,1,yb,16.36
2009,225,live,ems,A1,NA,1,yb,16.33
2009,335,live,ems,A1,NA,1,yb,16.72
2009,120,live,ems,A1,NA,10,yb,14.69
2009,152,live,ems,A1,NA,10,yb,14.74
2009,225,live,ems,A1,NA,10,yb,14.98
2009,335,live,ems,A1,NA,10,yb,15.08
2009,120,live,ems,A1,NA,11,rm,20.14
2009,152,live,ems,A1,NA,11,rm,20.18
2009,225,live,ems,A1,NA,11,rm,20.22
2009,335,live,ems,A1,NA,11,rm,20.26
2009,120,live,ems,A1,NA,12,rm,16.46
2009,152,live,ems,A1,NA,12,rm,16.46
2009,225,live,ems,A1,NA,12,rm,16.45
2009,335,live,ems,A1,NA,12,rm,16.46
2009,120,live,ems,A1,NA,14,ro,59.44
2009,152,live,ems,A1,NA,14,ro,59.62
2009,225,live,ems,A1,NA,14,ro,59.78
2009,335,live,ems,A1,NA,14,ro,59.84
2009,120,live,ems,A1,NA,15,rm,22.06
2009,152,live,ems,A1,NA,15,rm,22.06
2009,225,live,ems,A1,NA,15,rm,22.09
2009,335,live,ems,A1,NA,15,rm,22.1
2009,120,live,ems,A1,NA,17,rm,19.63
2009,152,live,ems,A1,NA,17,rm,19.63
2009,225,live,ems,A1,NA,17,rm,19.64
2009,335,live,ems,A1,NA,17,rm,19.64
2009,120,live,ems,A1,NA,18,rm,27.17
2009,152,live,ems,A1,NA,18,rm,27.21
2009,225,live,ems,A1,NA,18,rm,27.47
2009,335,live,ems,A1,NA,18,rm,27.54
2009,120,live,ems,A1,NA,19,ro,50.96
2009,152,live,ems,A1,NA,19,ro,51.1
2009,225,live,ems,A1,NA,19,ro,51.28
2009,335,live,ems,A1,NA,19,ro,51.36
2009,120,live,ems,A1,NA,2,rm,34.15
2009,152,live,ems,A1,NA,2,rm,34.16
2009,225,live,ems,A1,NA,2,rm,34.22
2009,335,live,ems,A1,NA,2,rm,34.26
2009,120,live,ems,A1,NA,6,rm,33.76
2009,152,live,ems,A1,NA,6,rm,33.77
2009,225,live,ems,A1,NA,6,rm,33.84
2009,335,live,ems,A1,NA,6,rm,33.85
2009,120,live,ems,A1,NA,8,yb,25.46
2009,152,live,ems,A1,NA,8,yb,25.5
2009,225,live,ems,A1,NA,8,yb,25.85
2009,335,live,ems,A1,NA,8,yb,25.99
2009,120,live,ems,A1,NA,9,yb,16.64
2009,152,live,ems,A1,NA,9,yb,16.65
2009,225,live,ems,A1,NA,9,yb,16.67
2009,335,live,ems,A1,NA,9,yb,16.8
2009,120,live,ems,A2,NA,25,rm,15.6
2009,152,live,ems,A2,NA,25,rm,15.67
2009,225,live,ems,A2,NA,25,rm,15.85
2009,335,live,ems,A2,NA,25,rm,15.9
2009,120,live,ems,A2,NA,26,bo,42.43
2009,152,live,ems,A2,NA,26,bo,42.57
2009,225,live,ems,A2,NA,26,bo,42.67
2009,335,live,ems,A2,NA,26,bo,42.73
2009,120,live,ems,A2,NA,27,rm,12.54
2009,152,live,ems,A2,NA,27,rm,12.73
2009,225,live,ems,A2,NA,27,rm,12.82
2009,335,live,ems,A2,NA,27,rm,12.89
2009,120,live,ems,A2,NA,29,rm,16.13
2009,152,live,ems,A2,NA,29,rm,16.14
2009,225,live,ems,A2,NA,29,rm,16.19
2009,335,live,ems,A2,NA,29,rm,16.22
2009,120,live,ems,A2,NA,30,rm,23.97
2009,152,live,ems,A2,NA,30,rm,24
2009,225,live,ems,A2,NA,30,rm,24.16
2009,335,live,ems,A2,NA,30,rm,24.18
2009,120,live,ems,A2,NA,31,bo,42
2009,152,live,ems,A2,NA,31,bo,42.16
2009,225,live,ems,A2,NA,31,bo,42.3
2009,335,live,ems,A2,NA,31,bo,42.39
2009,120,live,ems,A2,NA,32,ro,44.26
2009,152,live,ems,A2,NA,32,ro,44.4
2009,225,live,ems,A2,NA,32,ro,44.56
2009,335,live,ems,A2,NA,32,ro,44.64
2009,120,live,ems,A2,NA,33,bo,32.43
2009,152,live,ems,A2,NA,33,bo,32.52
2009,225,live,ems,A2,NA,33,bo,32.6
2009,335,live,ems,A2,NA,33,bo,32.64
2009,120,live,ems,A2,NA,34,ro,42.05
2009,152,live,ems,A2,NA,34,ro,42.16
2009,225,live,ems,A2,NA,34,ro,42.27
2009,335,live,ems,A2,NA,34,ro,42.3
2009,120,live,ems,A2,NA,35,rm,21.94
2009,152,live,ems,A2,NA,35,rm,21.95
2009,225,live,ems,A2,NA,35,rm,21.96
2009,335,live,ems,A2,NA,35,rm,21.97
2009,120,live,ems,A2,NA,92,beech,12.71
2009,152,live,ems,A2,NA,92,beech,12.84
2009,225,live,ems,A2,NA,92,beech,13.04
2009,335,live,ems,A2,NA,92,beech,13.16
2009,120,live,ems,A3,NA,263,bb,10.16
2009,152,live,ems,A3,NA,263,bb,10.17
2009,225,live,ems,A3,NA,263,bb,10.2
2009,335,live,ems,A3,NA,263,bb,10.21
2009,120,live,ems,A3,NA,51,ro,24.72
2009,152,live,ems,A3,NA,51,ro,24.91
2009,225,live,ems,A3,NA,51,ro,25.12
2009,335,live,ems,A3,NA,51,ro,25.25
2009,120,live,ems,A3,NA,52,beech,15.37
2009,152,live,ems,A3,NA,52,beech,15.42
2009,225,live,ems,A3,NA,52,beech,15.64
2009,335,live,ems,A3,NA,52,beech,15.7
2009,120,live,ems,A3,NA,53,rm,12.24
2009,152,live,ems,A3,NA,53,rm,12.24
2009,225,live,ems,A3,NA,53,rm,12.25
2009,335,live,ems,A3,NA,53,rm,12.26
2009,120,live,ems,A3,NA,54,ro,36.62
2009,152,live,ems,A3,NA,54,ro,36.79
2009,225,live,ems,A3,NA,54,ro,37.06
2009,335,live,ems,A3,NA,54,ro,37.16
2009,120,live,ems,A3,NA,55,rm,17.94
2009,152,live,ems,A3,NA,55,rm,17.96
2009,225,live,ems,A3,NA,55,rm,18.05
2009,335,live,ems,A3,NA,55,rm,18.08
2009,120,live,ems,A3,NA,56,rm,13.81
2009,152,live,ems,A3,NA,56,rm,13.93
2009,225,live,ems,A3,NA,56,rm,14.37
2009,335,live,ems,A3,NA,56,rm,14.56
2009,120,live,ems,A3,NA,57,ro,57.72
2009,152,live,ems,A3,NA,57,ro,57.9
2009,225,live,ems,A3,NA,57,ro,58.14
2009,335,live,ems,A3,NA,57,ro,58.18
2009,120,live,ems,A3,NA,58,ro,42.05
2009,152,live,ems,A3,NA,58,ro,42.22
2009,225,live,ems,A3,NA,58,ro,42.41
2009,335,live,ems,A3,NA,58,ro,42.51
2009,120,live,ems,A3,NA,60,rm,22.05
2009,152,live,ems,A3,NA,60,rm,22.11
2009,225,live,ems,A3,NA,60,rm,22.28
2009,335,live,ems,A3,NA,60,rm,22.17
2009,120,live,ems,A3,NA,61,ro,48.49
2009,152,live,ems,A3,NA,61,ro,48.3
2009,225,live,ems,A3,NA,61,ro,48.8
2009,335,live,ems,A3,NA,61,ro,48.87
2009,120,live,ems,A3,NA,64,yb,14.07
2009,152,live,ems,A3,NA,64,yb,14.08
2009,225,live,ems,A3,NA,64,yb,14.11
2009,335,live,ems,A3,NA,64,yb,14.11
2009,120,live,ems,A3,NA,65,yb,14.8
2009,152,live,ems,A3,NA,65,yb,14.8
2009,225,live,ems,A3,NA,65,yb,14.81
2009,335,live,ems,A3,NA,65,yb,14.82
2009,120,live,ems,A3,NA,66,rm,27.69
2009,152,live,ems,A3,NA,66,rm,27.88
2009,225,live,ems,A3,NA,66,rm,28.23
2009,335,live,ems,A3,NA,66,rm,28.38
2009,120,live,ems,A3,NA,67,rm,12.57
2009,152,live,ems,A3,NA,67,rm,12.57
2009,225,live,ems,A3,NA,67,rm,12.58
2009,335,live,ems,A3,NA,67,rm,12.59
2009,120,live,ems,A3,NA,69,rm,12.74
2009,152,live,ems,A3,NA,69,rm,12.74
2009,225,live,ems,A3,NA,69,rm,12.79
2009,335,live,ems,A3,NA,69,rm,12.77
2009,120,live,ems,A3,NA,70,ro,43.3
2009,152,live,ems,A3,NA,70,ro,43.39
2009,225,live,ems,A3,NA,70,ro,43.45
2009,335,live,ems,A3,NA,70,ro,43.48
2009,120,live,ems,B1,NA,152,rm,17.19
2009,152,live,ems,B1,NA,152,rm,17.29
