year,jday,tree.type,site,plot,nindivs,tag,spp,dbh
2002,111,live,ems,A1,NA,1,    yb,15.14
2002,111,live,ems,A1,NA,2,    rm,32.5
2002,111,live,ems,A1,NA,6,    rm,32.7
2002,111,live,ems,A1,NA,8,    yb,24.1
2002,111,live,ems,A1,NA,9,    yb,15.7
2002,111,live,ems,A1,NA,10,    yb,13.11
2002,111,live,ems,A1,NA,11,    rm,19.06
2002,111,live,ems,A1,NA,12,    rm,16.1
2002,111,live,ems,A1,NA,14,    ro,56.95
2002,111,live,ems,A1,NA,15,    rm,22.2
2002,111,live,ems,A1,NA,17,    rm,18.8
2002,111,live,ems,A1,NA,18,    rm,26.55
2002,111,live,ems,A1,NA,19,    ro,48.8
2002,111,live,ems,A2,NA,25,    rm,14.3
2002,111,live,ems,A2,NA,26,    bo,40.5
2002,111,live,ems,A2,NA,27,    rm,10.9
2002,111,live,ems,A2,NA,29,    rm,15.81
2002,111,live,ems,A2,NA,30,    rm,22.9
2002,111,live,ems,A2,NA,31,    bo,39.9
2002,111,live,ems,A2,NA,32,    ro,41.8
2002,111,live,ems,A2,NA,33,    bo,31.35
2002,111,live,ems,A2,NA,34,    ro,40.8
2002,111,live,ems,A2,NA,35,    rm,21.9
2002,111,live,ems,A3,NA,51,    ro,22.06
2002,111,live,ems,A3,NA,52, beech,14.15
2002,111,live,ems,A3,NA,53,    rm,12
2002,111,live,ems,A3,NA,54,    ro,34.4
2002,111,live,ems,A3,NA,55,    rm,16.6
2002,111,live,ems,A3,NA,56,    rm,11.4
2002,111,live,ems,A3,NA,57,    ro,56.2
2002,111,live,ems,A3,NA,58,    ro,39.65
2002,111,live,ems,A3,NA,60,    rm,20.8
2002,111,live,ems,A3,NA,61,    ro,46.5
2002,111,live,ems,A3,NA,62,    bo,28.15
2002,111,live,ems,A3,NA,64,    yb,13.8
2002,111,live,ems,A3,NA,65,    yb,14.8
2002,111,live,ems,A3,NA,66,    rm,25.21
2002,111,live,ems,A3,NA,67,    rm,12.8
2002,111,live,ems,A3,NA,69,    rm,13.25
2002,111,live,ems,A3,NA,70,    ro,42.5
2002,111,live,ems,B1,NA,152,    rm,15.32
2002,111,live,ems,B1,NA,153,    ro,49.16
2002,111,live,ems,B1,NA,154,    rm,26.55
2002,111,live,ems,B1,NA,155,    ro,48.5
2002,111,live,ems,B1,NA,156,    rm,35.01
2002,111,live,ems,B1,NA,157,    rm,19
2002,111,live,ems,B1,NA,159,    rm,29.1
2002,111,live,ems,B1,NA,160,    rm,35
2002,111,live,ems,B1,NA,161,    rm,23.3
2002,111,live,ems,B1,NA,162,    rm,32
2002,111,live,ems,B1,NA,163,    rm,13.25
2002,111,live,ems,B1,NA,164,    wp,18.26
2002,111,live,ems,B1,NA,165,    ro,42.8
2002,111,live,ems,B2,NA,179,    ro,63
2002,111,live,ems,B2,NA,180,    rm,24.3
2002,111,live,ems,B2,NA,182,    yb,33.5
2002,111,live,ems,B2,NA,185,    rm,13.9
2002,111,live,ems,B2,NA,187,    rm,29.31
2002,111,live,ems,B2,NA,189,cherry,35.75
2002,111,live,ems,B2,NA,192,    bb,12.4
2002,111,live,ems,B2,NA,193,    yb,15.61
2002,111,live,ems,B2,NA,194,    rm,20.91
2002,111,live,ems,B3,NA,201,    ro,35.61
2002,111,live,ems,B3,NA,202,    ro,21
2002,111,live,ems,B3,NA,203,   ash,15.5
2002,111,live,ems,B3,NA,204,    rm,27.5
2002,111,live,ems,B3,NA,208,    rm,18.5
2002,111,live,ems,B3,NA,209,    ro,21.7
2002,111,live,ems,B3,NA,210,    ro,32.01
2002,111,live,ems,B3,NA,211,    rm,17
2002,111,live,ems,B3,NA,212,    rm,13.2
2002,111,live,ems,B3,NA,213,    rm,13.8
2002,111,live,ems,B3,NA,214,    yb,15.5
2002,111,live,ems,B3,NA,215,    rm,18.56
2002,111,live,ems,B3,NA,216,    rm,15.9
2002,111,live,ems,B3,NA,218,    rm,14
2002,111,live,ems,B3,NA,219,    rm,15
2002,111,live,ems,B3,NA,221,    rm,24.7
2002,111,live,ems,B3,NA,222,    rm,19.6
2002,111,live,ems,B3,NA,223,    ro,43.31
2002,111,live,ems,B3,NA,225,    rm,21.2
2002,111,live,ems,B3,NA,226,    ro,22.7
2002,111,live,ems,B3,NA,227,    rm,21.8
2002,111,live,ems,B3,NA,228,    bo,45.01
2002,111,live,ems,B3,NA,231,    ro,22
2002,111,live,ems,B3,NA,232,    ro,34.2
2002,111,live,ems,B4,NA,251,    bo,19.05
2002,111,live,ems,B4,NA,253,    rm,12.4
2002,111,live,ems,B4,NA,254,    rm,13
2002,111,live,ems,B4,NA,255,    rm,19.31
2002,111,live,ems,B4,NA,256,    rm,14.4
2002,111,live,ems,B4,NA,257,    rm,12.2
2002,111,live,ems,B4,NA,258,    rm,11.5
2002,111,live,ems,B4,NA,259,    rm,12.8
2002,111,live,ems,B4,NA,260,    rm,11.1
2002,111,live,ems,B4,NA,261,    rm,15.7
2002,111,live,ems,B4,NA,262,    ro,24.01
2002,111,live,ems,B4,NA,263,    gb,16.8
2002,111,live,ems,B4,NA,264,    rm,10.65
2002,111,live,ems,B4,NA,265,    gb,22.1
2002,111,live,ems,B4,NA,266,    gb,20.2
2002,111,live,ems,B4,NA,267,    gb,20.15
2002,111,live,ems,B4,NA,268,    gb,22.2
2002,111,live,ems,B4,NA,269,    gb,28
2002,111,live,ems,B4,NA,270,    rm,12.6
2002,111,live,ems,B4,NA,271,    rm,10.85
2002,111,live,ems,B4,NA,272,    rm,21.5
2002,111,live,ems,B4,NA,273,    rm,14.25
2002,111,live,ems,B4,NA,274,    gb,24.2
2002,111,live,ems,B4,NA,275,    ro,10.2
2002,111,live,ems,B4,NA,276,    rm,11.2
2002,111,live,ems,B4,NA,277,    ro,23.98
2002,111,live,ems,B4,NA,278,    rm,14.9
2002,111,live,ems,B4,NA,279,    rm,12.85
2002,111,live,ems,B4,NA,280,    ro,22.85
2002,111,live,ems,B4,NA,726,    ro,34.62
2002,111,live,ems,C1,NA,217,   hem,27.69
2002,111,live,ems,C1,NA,351,   hem,21.26
2002,111,live,ems,C1,NA,352,    ro,44.65
2002,111,live,ems,C1,NA,353,    ro,39.3
2002,111,live,ems,C1,NA,354,    rm,24
2002,111,live,ems,C1,NA,355,    yb,12.06
2002,111,live,ems,C1,NA,356,    ro,35.56
2002,111,live,ems,C1,NA,359,    wp,14.1
2002,111,live,ems,C1,NA,360,    yb,16.71
2002,111,live,ems,C1,NA,361,    ro,57.9
2002,111,live,ems,C1,NA,362,    ro,41.3
2002,111,live,ems,C1,NA,363,    ro,33.95
2002,111,live,ems,C1,NA,366,    ro,34.35
2002,111,live,ems,C1,NA,367,    ro,44.25
2002,111,live,ems,C2,NA,376,    rm,18.2
2002,111,live,ems,C2,NA,377,    rm,10.4
2002,111,live,ems,C2,NA,378,    ro,52.6
2002,111,live,ems,C2,NA,379,    rm,11.1
2002,111,live,ems,C2,NA,380,    rm,20.55
2002,111,live,ems,C2,NA,381,    rm,16.7
2002,111,live,ems,C2,NA,382,    rm,20
2002,111,live,ems,C2,NA,385,    rm,15.1
2002,111,live,ems,C2,NA,386,    ro,38.75
2002,111,live,ems,C2,NA,388, beech,12.57
2002,111,live,ems,C2,NA,389,    rm,14.8
2002,111,live,ems,C2,NA,390,    ro,48.25
2002,111,live,ems,C2,NA,391,    ro,45.7
2002,111,live,ems,C2,NA,392,    ro,54.8
2002,111,live,ems,C3,NA,401,    rm,17
2002,111,live,ems,C3,NA,402,    rm,28.8
2002,111,live,ems,C3,NA,403,    rm,26.7
2002,111,live,ems,C3,NA,404,    rm,25.45
2002,111,live,ems,C3,NA,405,    yb,17.05
2002,111,live,ems,C3,NA,406,   ash,17.7
2002,111,live,ems,C3,NA,407,    rm,17.7
2002,111,live,ems,C3,NA,409,cherry,23.9
2002,111,live,ems,C3,NA,410,   ash,17.95
2002,111,live,ems,C3,NA,411,    rm,23.76
2002,111,live,ems,C3,NA,412,    rm,20.21
2002,111,live,ems,C3,NA,413,    rm,22.65
2002,111,live,ems,C3,NA,414,    yb,13.51
2002,111,live,ems,C3,NA,415,    rm,24.3
2002,111,live,ems,C3,NA,416,    rm,29.35
2002,111,live,ems,C3,NA,417,    rm,17.4
2002,111,live,ems,C3,NA,418,   ash,26.5
