year,jday,tree.type,site,plot,nindivs,tag,spp,dbh
1999,131,live,ems,X4,NA,587,beech,5.2
1999,140,live,ems,X4,NA,587,beech,5.4
1999,150,live,ems,X4,NA,587,beech,5.5
1999,140,live,ems,X4,NA,333,sm,5.4
1999,150,live,ems,X4,NA,333,sm,5.5
1999,150,live,ems,A1,NA,587,ro,10.4
1999,131,live,ems,X4,NA,592,   rm,20.8
1999,131,live,ems,X4,NA,593,   bb,5.9
1999,132,live,ems,X4,NA,593,   bb,5.9
1999,133,live,ems,X4,NA,593,   bb,5.9
2000,131,live,ems,X4,NA,587,beech,5.2
2000,140,live,ems,X4,NA,587,beech,5.4
2000,150,live,ems,X4,NA,587,beech,5.5
2000,140,live,ems,X4,NA,333,sm,5.6
2000,150,live,ems,X4,NA,333,sm,5.7
2000,131,live,ems,X4,NA,598,   hem,20.8
2000,132,live,ems,X4,NA,598,   hem,20.8
2000,134,live,ems,X4,NA,598,   hem,20.8
2000,131,live,ems,X4,NA,593,   bb,5.9
2001,150,live,ems,A1,NA,587,ro,10.4
2001,131,live,ems,X4,NA,587,beech,5.2
2001,140,live,ems,X4,NA,587,beech,5.4
2001,150,live,ems,X4,NA,587,beech,5.5
2001,140,live,ems,X4,NA,333,sm,5.8
2001,150,live,ems,X4,NA,333,sm,5.9
2001,131,live,ems,X4,NA,598,   hem,20.8
2001,96,live,ems,B5,NA,322,   ro,21.45
2001,96,live,ems,B5,NA,322,   ro,21.45
2001,96,live,ems,B5,NA,322,   ro,21.45
2001,96,live,ems,B5,NA,322,   ro,21.45
