year,jday,tree.type,site,plot,nindivs,tag,spp,dbh
1999,131,live,harv,X4,NA,587,beech,5.2
1999,131,live,harv,X4,NA,588,   rm,13
1999,131,live,harv,X4,NA,589,  hem,20.8
1999,131,live,harv,X4,NA,590,  hem,24.7
1999,131,live,harv,X4,NA,591,  hem,16.3
1999,131,live,harv,X4,NA,592,   rm,20.8
1999,131,live,harv,X4,NA,593,   bb,5.9
1999,131,live,harv,X4,NA,594,beech,7.2
1999,131,live,harv,X4,NA,595,  hem,12.1
1999,131,live,harv,X4,NA,596,  hem,6.1
1999,131,live,harv,X4,NA,597,   rm,7.7
1999,131,live,harv,X4,NA,598,   rm,8.5
1999,131,live,harv,X4,NA,599,   bb,5.5
1999,131,live,harv,X4,NA,600,   bb,8.5
1999,131,live,harv,X4,NA,601,   rm,5.5
1999,131,live,harv,X4,NA,602,   bb,6.3
1999,131,live,harv,X4,NA,603,   bb,7.8
1999,131,live,harv,X4,NA,604,  hem,32
1999,131,live,harv,X4,NA,605,  hem,25.4
1999,131,live,harv,X4,NA,606,   ro,6
2000,96,live,harv,B5,NA,322,   ro,21.45
2000,96,live,harv,B5,NA,323,   ro,19.93
2000,96,live,harv,B5,NA,324,   ro,22.9
2000,96,live,harv,B5,NA,325,   rm,11.21
2000,96,live,harv,B5,NA,327,   gb,17.21
2000,96,live,harv,B5,NA,685,   rm,5.75
2000,96,live,harv,B5,NA,686,   rm,9
2000,96,live,harv,B5,NA,687,   rm,8.23
2000,96,live,harv,B5,NA,688,   rm,6.63
2000,96,live,harv,B5,NA,689,   rm,5.62
2000,96,live,harv,B5,NA,690,   rm,9.32
2000,96,live,harv,B5,NA,693,   rm,7.02
2000,96,live,harv,B5,NA,694,   rm,7.52
2000,96,live,harv,B5,NA,696,   rm,6.03
2000,96,live,harv,B5,NA,697,   bb,5.82
2000,96,live,harv,B5,NA,698,   bb,8.03
2000,96,live,harv,X5,NA,650,   rm,9.05
2000,96,live,harv,X5,NA,651,  hem,20.44
2000,96,live,harv,X5,NA,652,   bb,24.99
2000,96,live,harv,X5,NA,653,  hem,12.24
2000,96,live,harv,X5,NA,654,  hem,7.24
2001,128,live,harv,X6,NA,981,      rm,20.5
2001,128,live,harv,X6,NA,982,      rm,12.6
2001,128,live,harv,X6,NA,983,      rm,20.65
2001,128,live,harv,X6,NA,985,     hem,6.49
2001,128,live,harv,X2,NA,2,   beech,16.73
2001,128,live,harv,X2,NA,3,   beech,16.74
2001,128,live,harv,X2,NA,4,   beech,28.41
2001,128,live,harv,X2,NA,5,   beech,6.11
2001,128,live,harv,X2,NA,6,   beech,26.2
2001,128,live,harv,X2,NA,7,      ro,38.2
2001,128,live,harv,X2,NA,8,   beech,6.4
2001,128,live,harv,X2,NA,9,      rm,12.75
2001,128,live,harv,X2,NA,10,     hem,30
2001,128,live,harv,X2,NA,11,     hem,7.2
2001,128,live,harv,X2,NA,12,      rm,26.7
2001,128,live,harv,X2,NA,13,     hem,36.1
2001,128,live,harv,X2,NA,14,      rm,16.3
2001,128,live,harv,X2,NA,15,     hem,27.11
2001,128,live,harv,X2,NA,16,     hem,5.94
2001,128,live,harv,X2,NA,17,   beech,5.41
2001,128,live,harv,X2,NA,18,   beech,7.27
