year,jday,tree.type,site,plot,nindivs,tag,spp,dbh
1999,131,live,harv,A4,NA,78,   ro,32.53
1999,131,live,harv,A4,NA,79,   bo,27.48
1999,131,live,harv,A4,NA,81,   ro,24.92
1999,131,live,harv,A4,NA,82,beech,10.16
1999,131,live,harv,A4,NA,83,   bo,39.76
1999,131,live,harv,A4,NA,84,   ro,18.94
1999,131,live,harv,A4,NA,85,   rm,16.56
1999,131,live,harv,A4,NA,86,   rm,11.75
1999,131,live,harv,A4,NA,87,   rm,12.36
1999,131,live,harv,A4,NA,88,   ro,39.47
1999,131,live,harv,A4,NA,140,beech,48.13
1999,131,live,harv,A4,NA,141,   bb,20.47
1999,131,live,harv,A4,NA,141.5,   bb,22.89
1999,131,live,harv,A4,NA,142,   ro,27.89
1999,131,live,harv,A4,NA,718,   rm,5.7
1999,131,live,harv,A4,NA,719,beech,8
1999,131,live,harv,A4,NA,720,beech,7.1
1999,131,live,harv,A4,NA,721,   rm,10
1999,131,live,harv,A4,NA,722,   rm,7.4
1999,131,live,harv,A4,NA,723,   rm,9.9
1999,131,live,harv,A4,NA,724,beech,7.7
1999,131,live,harv,A4,NA,725,beech,6
1999,131,live,harv,A4,NA,726,beech,9.9
1999,131,live,harv,A5,NA,101,   ro,10.86
1999,131,live,harv,A5,NA,105,   ro,29.79
1999,131,live,harv,A5,NA,106,   wp,11.39
1999,131,live,harv,A5,NA,107,   wp,12.26
1999,131,live,harv,A5,NA,108,   rm,12.81
1999,131,live,harv,A5,NA,109,   ro,25.05
1999,131,live,harv,A5,NA,110,   ro,20.67
1999,131,live,harv,A5,NA,112,   ro,36.1
1999,131,live,harv,A5,NA,113,   rm,19.71
1999,131,live,harv,A5,NA,114,   ro,10.38
1999,131,live,harv,A5,NA,116,   wp,15.48
1999,131,live,harv,A5,NA,120,   wp,9.94
1999,131,live,harv,A5,NA,121,   rm,11.46
1999,131,live,harv,A5,NA,122,   ro,19.42
1999,131,live,harv,A5,NA,125,   gb,12.7
1999,131,live,harv,A5,NA,126,   gb,12.47
1999,131,live,harv,A5,NA,127,   ro,11.21
1999,131,live,harv,A5,NA,131,   ro,13.07
1999,131,live,harv,A5,NA,132,   ro,29.95
1999,131,live,harv,A5,NA,133,   wp,11.14
1999,131,live,harv,A5,NA,134,   ro,20.29
1999,131,live,harv,A5,NA,135,   ro,13.16
1999,131,live,harv,A5,NA,699,   rm,7.8
1999,131,live,harv,A5,NA,700,   rm,10.7
1999,131,live,harv,A5,NA,701,   rm,7.4
1999,131,live,harv,A5,NA,702,   rm,7.5
1999,131,live,harv,A5,NA,703,   rm,8.7
1999,131,live,harv,A5,NA,704,   rm,6.6
1999,131,live,harv,A5,NA,705,   rm,8.8
1999,131,live,harv,A5,NA,706,   rm,7.6
1999,131,live,harv,A5,NA,707,   rm,5.21
1999,131,live,harv,A5,NA,708,   rm,7.3
1999,131,live,harv,A5,NA,709,   rm,7.4
1999,131,live,harv,A5,NA,710,   rm,5.6
1999,131,live,harv,A5,NA,711,   rm,9.6
1999,131,live,harv,A5,NA,712,   rm,6.6
1999,131,live,harv,A5,NA,713,   rm,5.7
1999,131,live,harv,A5,NA,714,beech,10.3
1999,131,live,harv,A5,NA,715,beech,8.5
1999,131,live,harv,A5,NA,716,   ro,9.3
1999,131,live,harv,A5,NA,717,   rm,7.5
1999,131,live,harv,B5,NA,301,   ro,25.02
1999,131,live,harv,B5,NA,303,   rm,11.12
1999,131,live,harv,B5,NA,304,   ro,31.84
